year,price,dividend,earnings,book.to.market.ratio,treasury.bill,aaa.rate,baa.rate,long.term.yield,consumption.wealth.income.ratio,net.equity.expansion,risk.free.rate,inflation,percent.equity.issuing,long.term.rate,corporate.bond.returns,stock.variance,cross.sectional.premium,investment.to.capital.ratio,stock.returns.crsp.vw,stock.returns.crsp.vwx
1960,58.11,1.95,3.27,0.550422965139879,0.0225,0.0435,0.051,0.038,0.006003801648141,0.02314900117923,0.0287967432722034,0.0147410354436637,0.204155997636399,0.137933943430489,0.0906649154707446,0.00999693006137,-0.0013625136,0.0313569811,0.00533558348458918,-0.0289785591998046
1961,71.55,2.02,3.19,0.505922258391006,0.026,0.0442,0.051,0.0415,-0.002291435927893,0.0206453828618305,0.0235185609911516,0.00670522102675064,0.284412032816773,0.00967842672510733,0.0481831888010691,0.00643570792716,-0.0022107435,0.031874943,0.270868835685202,0.232665265410851
1962,63.1,2.13,3.67,0.591627051065788,0.0287,0.0424,0.0492,0.0395,0.001186767118117,0.0208222778063394,0.0277013159781818,0.0122093745926397,0.162167211583372,0.0688294892686656,0.0794503633446488,0.0272787584373161,-0.0027965748,0.0327760006,-0.0875063133625282,-0.118615769149493
1963,75.02,2.28,4.02,0.525591454223737,0.0352,0.0435,0.0485,0.0417,0.00053991798003,0.00893838699044831,0.0315498922558886,0.0164588877512504,0.11147433801896,0.0121436447908792,0.0219487475661388,0.00741263314371186,-0.0014968686,0.034785458,0.22704716239034,0.187870151495157
1964,84.75,2.5,4.55,0.487227300287143,0.0384,0.0444,0.0481,0.0423,-0.009551146235007,0.023053756925248,0.035414316072183,0.0118783157352043,0.221465931074013,0.0351170289674503,0.0477231317942597,0.00279458845948267,-0.0023805734,0.036988781,0.166691729949665,0.132001761804631
1965,92.43,2.72,5.19,0.430637806161402,0.0438,0.0468,0.0502,0.045,-0.013924816238991,0.020768512543727,0.0394267283294414,0.0191954881543712,0.142071035517759,0.00701936978601525,-0.00456793896748131,0.00458919260571269,-0.00081288747,0.0418833124,0.126118059964777,0.0920901369687501
1966,80.33,2.87,5.55,0.576945105575991,0.0496,0.0539,0.0618,0.0455,-0.003485457133788,0.0171859796384177,0.0485263492731578,0.0334736751810638,0.139047197476899,0.0364500828326439,0.00195291993673785,0.0139352897097998,-0.000049878855,0.0417958033,-0.10196590977844,-0.13206763759806
1967,96.47,2.92,5.33,0.525792445117168,0.0497,0.0619,0.0693,0.0556,-0.024169269388085,0.0142490269285175,0.0429887948974322,0.0303788379490488,0.1146866682797,-0.0917652651649794,-0.0495058681788044,0.00698939051795418,0.0029522247,0.0389886942,0.239670944133336,0.200882138738782
1968,103.86,3.07,5.76,0.504900662251656,0.0596,0.0645,0.0723,0.0598,-0.033824741950413,0.0319477245303556,0.0532646361875739,0.0471437755909188,0.208640626422653,-0.00257377747590115,0.0257391321468925,0.00739945375952661,0.0023475611,0.0390149605,0.108411610981296,0.0744369323956391
1969,92.06,3.16,5.78,0.651082013094108,0.0782,0.0772,0.0865,0.0687,-0.009947357121628,0.0342605971826029,0.0664808230737212,0.0609188826246849,0.313951314362637,-0.0507360148753789,-0.0809043138961316,0.0100154306841011,0.00082225183,0.0391496839,-0.0831182290644414,-0.11309488234085
1970,92.15,3.12,5.13,0.646426357697993,0.0487,0.0764,0.0912,0.0648,-0.007215695346414,0.0315364736013069,0.0637446595135006,0.054782072133426,0.222884141331142,0.121021806970932,0.183713790227419,0.023043385595985,0.0015125012,0.0355365775,0.0399595762787546,0.00167792525630661
1971,102.09,3.07,5.7,0.643900247135475,0.0401,0.0725,0.0838,0.0597,-0.023708226633962,0.0338925733269055,0.0432457627276958,0.0335240990795875,0.287447327567088,0.132367216268185,0.110125859896848,0.0104616708267776,0.0022538795,0.0358054485,0.144642799371159,0.109243729187905
1972,118.05,3.16,6.42,0.595674594615792,0.0507,0.0708,0.0793,0.0599,-0.032335597930988,0.0342805004703352,0.0406546851988792,0.0340626359586336,0.311294897156613,0.0568244211901516,0.0725975174837348,0.00636160188713697,0.00031144652,0.038381203,0.191059039976802,0.157557325808422
1973,97.55,3.4,8.16,0.755588463436993,0.0745,0.0768,0.0848,0.0726,-0.027425095444617,0.0128410744096243,0.0701070876645588,0.0875638595086554,0.333083765086401,-0.0111038792164253,0.0113949647197749,0.0250687114283016,-0.0006401994,0.04040391,-0.147971915211204,-0.174802264115528
1974,68.56,3.62,8.89,1.12001817473712,0.0715,0.0889,0.1063,0.076,0.003843424588192,0.00889536494412208,0.0780445977671213,0.121372546567549,0.163064474027669,0.0434264930190931,-0.030617512511582,0.0480428346376114,-0.00083048791,0.0365592112,-0.264193631510523,-0.296625546584627
1975,90.19,3.69,7.96,0.876338851022396,0.0544,0.0879,0.1056,0.0805,-0.000158498113788,0.0235935605723178,0.0576107531513553,0.0699122197543154,0.202599873176918,0.0918688771725986,0.14644256327734,0.0242633906200242,-0.00046511563,0.0328406161,0.369532185978869,0.313567979925752
1976,107.46,4.09,9.91,0.779973124968895,0.0435,0.0798,0.0912,0.0721,-0.00398128969711,0.0286909816840755,0.0496385747673705,0.0479994701968673,0.207928029238122,0.167645110214351,0.186468693793516,0.0124671305287926,-0.0011227041,0.0341219851,0.239163090398148,0.191265502880325
1977,95.1,4.71,10.89,0.960333024531685,0.0607,0.0819,0.0899,0.0803,0.00157913762604,0.0305013730648818,0.0525748094096214,0.0674841386487481,0.218935901249256,-0.00698854750346267,0.0170977831892929,0.00825975334572484,-0.0018338899,0.0369638618,-0.0742804605938177,-0.116903220165088
1978,96.11,5.12,12.33,1.04570129563608,0.0908,0.0916,0.0994,0.0898,-0.000699586488376,0.0147348053876055,0.0716653409185062,0.0899182468078637,0.219449152542373,-0.0116586902594554,-0.000703563104524352,0.0158011387395969,-0.0015481539,0.0410214207,0.0639969677315653,0.00946491834924146
1979,107.94,5.7,14.86,1.06195006795908,0.1204,0.1074,0.1206,0.1012,-0.004263968163651,0.0103823171396761,0.100266938113241,0.132330994701192,0.220056738691124,-0.0125031159434282,-0.0420041054847022,0.011823023808777,-0.00037113093,0.0405598303,0.186005073006987,0.122759007928959
1980,135.76,6.24,14.82,0.891503023890289,0.1549,0.1321,0.1514,0.1199,-0.010369789967191,0.0269436676873914,0.113770826963304,0.123246940372338,0.278024289300495,-0.0395298639636583,-0.0275652600551682,0.0273419059748118,0.0010201575,0.0378569437,0.325971159678327,0.259774197469363
1981,122.55,6.65,15.36,1.06114285714286,0.1085,0.1423,0.1655,0.1334,-0.000592890177224,0.0120069048248113,0.139425998125242,0.0890098124555174,0.362175136803303,0.0185697055695062,-0.0123619323631896,0.0181306742602546,-0.0012794664,0.0390614715,-0.0487789823082537,-0.0965079321982486
1982,140.64,6.89,12.64,0.932214726622967,0.0794,0.1183,0.1414,0.1095,0.001971168202499,0.0030100517011931,0.105654922085273,0.0385410810390363,0.364753902706831,0.403503691412613,0.425618992977578,0.0334409250389763,-0.0013463488,0.0332308478,0.221516344296723,0.153876618658271
1983,164.93,7.12,14.03,0.700359117777919,0.09,0.1257,0.1375,0.1197,0.019474193560301,0.0269866107731416,0.0858000621459299,0.0378783523564319,0.430007753295151,0.0065190631292682,0.0625857638204426,0.0178707692746362,-0.0016937271,0.0355815837,0.223033766234818,0.170288282741033
1984,167.24,7.57,16.64,0.733098376486708,0.0806,0.1213,0.134,0.117,0.010688510496985,-0.0271530397076593,0.0948471758285269,0.0394572354234271,0.170737412378991,0.154924979792003,0.168601576991455,0.0162509715852172,-0.0011276635,0.0389127283,0.0669004694712352,0.0184214962882916
1985,211.28,7.94,14.61,0.59269268816231,0.071,0.1016,0.1158,0.0956,0.013388440726515,-0.0195978152778126,0.0745585238063385,0.0376537928169476,0.176455390546979,0.309711450052542,0.300908897869741,0.010517739825645,-0.001721356,0.03788436,0.320081777330118,0.266153884644187
1986,242.17,8.3,14.48,0.498430865792874,0.0553,0.0849,0.0997,0.0789,0.00053132510204,-0.00995595403044277,0.0596332450501079,0.0112479719203673,0.16473415536112,0.245212378800556,0.198474772457004,0.0216761635778033,-0.0022403247,0.0346734592,0.18065002475309,0.138588565241778
1987,247.08,8.505,17.5,0.50881201549388,0.0577,0.1011,0.1129,0.092,0.012693464574332,0.0133418784589731,0.0576111974519732,0.0442419914162431,0.150406824960953,-0.0271656845243659,-0.0026759108630926,0.103327014755368,-0.0027006902,0.034290794,0.0514713009820407,0.0163946405419599
1988,277.72,9.73,23.75,0.465283573968099,0.0807,0.0957,0.1065,0.0918,0.013277068121351,-0.0216391555943691,0.0664878486638272,0.0440988367653519,0.114644401178443,0.096665851987302,0.107041209426372,0.0292620231888307,-0.0022913172,0.0346288503,0.169508209015041,0.120606744265351
1989,353.4,11.05,22.87,0.390454743571117,0.0763,0.0886,0.0982,0.0816,0.017500087175932,-0.0123201635936192,0.0808430628637551,0.0463661612729862,0.0977872384359143,0.180974997531327,0.16231363408277,0.0172388835029789,-0.0029288342,0.0347825589,0.313931063088814,0.267450144019272
1990,330.22,12.09,21.34,0.484496859883204,0.0674,0.0905,0.1043,0.0844,0.035184255089857,-0.001736933622542,0.0746998857815371,0.0608498923266285,0.0783453263859412,0.0616924995474466,0.067827348958827,0.0254501898477262,-0.0023382328,0.032935414,-0.032031357965863,-0.0660374372108744
1991,417.09,12.2,15.97,0.420344417340154,0.0407,0.0831,0.0926,0.073,0.025125849246406,0.0316383707632633,0.0536285955461874,0.0305910514521956,0.152766952455183,0.192649399816808,0.198889667662776,0.020679680574122,-0.0012532164,0.0304819616,0.306783185271176,0.266005888371667
1992,435.71,12.38,19.09,0.394109614198953,0.0322,0.0798,0.0881,0.0726,0.019899476497585,0.0388164547518132,0.0342670911614871,0.0289587592727925,0.150194881769174,0.0805357963526654,0.0939343373680661,0.00942246298254912,-0.0011115236,0.0323958936,0.0773200100715621,0.0460148436394829
1993,466.45,12.58,21.89,0.305267222909008,0.0306,0.0693,0.0769,0.0654,0.027207025740903,0.0458527222264818,0.029937607694168,0.0274381999033764,0.144115071813451,0.18234581828597,0.131850039994765,0.00741788363758152,-0.001012497,0.0341831571,0.0988631994369622,0.0686940196778529
1994,459.27,13.18,30.6,0.29156830000676,0.056,0.0846,0.091,0.0799,0.039890543225427,0.0166568397368696,0.0423892481686417,0.0267092578614567,0.120390284740425,-0.0777707762670656,-0.0576106963335507,0.00965228473873915,-0.00057600688,0.036080241,0.0134898768807095,-0.0146777142178707
1995,615.93,13.79,33.96,0.255026382939535,0.0514,0.0682,0.0749,0.0603,0.021741510797057,0.0155830237694227,0.0547746316474734,0.02534132175398,0.121240719657063,0.316564928681778,0.272042354652533,0.00642715066230655,-0.00014660419,0.0370685343,0.37644392865296,0.342424501472208
1996,740.74,14.9,38.73,0.2073427296955,0.0491,0.072,0.0789,0.0673,0.015476612619923,0.0232343480765924,0.0499541842482933,0.033162420225505,0.19866586409042,-0.00918455376842697,0.0140156702761634,0.0140776111619563,-0.00039675518,0.0393883126,0.232287102215969,0.205480671138257
1997,970.43,15.49,39.72,0.178800884204059,0.0516,0.0676,0.0732,0.0602,-0.001204694219105,0.0152869303609638,0.0505018881133892,0.0169991830447036,0.142700116697415,0.158659370852994,0.129494216085763,0.0332000709758229,-0.00088877898,0.0412894775,0.336038827346651,0.312734259656117
1998,1229.23,16.2,37.71,0.173611315365501,0.0439,0.0622,0.0723,0.0542,-0.019879948958671,0.0198134819756282,0.0476713736236154,0.016104073792363,0.12065860340439,0.130704036874004,0.107555639993961,0.0412581205597054,-0.0010338728,0.0428014127,0.293202321557909,0.273932311772591
1999,1469.25,16.69,48.17,0.147167259434962,0.052,0.0755,0.0819,0.0682,-0.035231702871493,0.0166377688018016,0.0462936182656365,0.0267892261131983,0.138456050033097,-0.0898988411022563,-0.0745425946346626,0.0326778594751529,0.000064278,0.0428954588,0.213496062890964,0.197744045362912
2000,1320.28,16.27,50,0.151851503649205,0.0577,0.0721,0.0802,0.0558,-0.015086444918995,-0.00535181654568772,0.0580259005953552,0.033777383196232,0.140989561399017,0.214934372438822,0.128545365283127,0.0492165642640031,-0.00052485301,0.042964631,-0.0833822380217006,-0.0939324292796169
2001,1148.08,15.74,24.69,0.131217845913788,0.0169,0.0677,0.0805,0.0575,0.002836801649052,0.0156393369018924,0.0338307653942373,0.0154373185259225,0.0865431157110418,0.0370275224205652,0.106366571816322,0.0456056964019334,-0.0013361672,0.0365034007,-0.118897438548228,-0.130679438215581
2002,879.82,16.077,27.59,0.295385895618367,0.0119,0.0621,0.0745,0.0484,0.006921067792598,0.0310384918635631,0.0160308120226542,0.0237148884325751,0.0820276579846127,0.178413927605908,0.166415175243986,0.0676923204902948,-0.0041443054,0.0328219422,-0.217783544425393,-0.230613259937675
2003,1111.92,17.385,48.74,0.218739864754122,0.009,0.0562,0.066,0.0515,-0.017437262865558,0.00739500300738188,0.010104030145328,0.018755168335193,0.0724230891214716,0.00895939559012238,0.0527255505840436,0.0292607788837301,,0.0333758952,0.287151094425173,0.264139312499702
2004,1211.92,19.44,58.55,0.270619242678992,0.0219,0.0547,0.0615,0.0484,-0.022528785133177,0.0130463051007891,0.0138024074695993,0.032555615843733,0.0782974619176233,0.0849731843933295,0.087211543434518,0.012291435615,,0.0344671074,0.109835831890287,0.0874065096917656
2005,1248.29,22.22,69.93,0.313477956613016,0.0389,0.0537,0.0632,0.0461,-0.019456953792018,0.00373587443404869,0.0319233947895332,0.0341565948502365,0.0510712081217644,0.0780755925034837,0.0587227306100488,0.0105405863936672,,0.0350107696,0.0519734130052922,0.0327220538200748
2006,1418.3,24.881,81.51,0.281682399714358,0.0485,0.0532,0.0622,0.0491,-0.001276584016501,-0.0158778680662487,0.0483039936974681,0.0254065040650404,0.0491233387407844,0.0117595391250092,0.0323553590740773,0.010061516331,,0.035348664,0.156720214648135,0.135024753348886
2007,1468.3552,27.731,65.29,0.250582973142723,0.03,0.0549,0.0665,0.045,0.012826697731026,-0.041698603490931,0.0444106125570201,0.0408126858275519,0.0775829192666737,0.0989279627637807,0.0258900171364995,0.025359754979,,0.0363571075,0.0574904107819905,0.0375497919312584
2008,903.25,28.387,14.88,0.354984224721098,0.0003,0.0505,0.0843,0.0303,0.017857538490969,-0.0262692719488405,0.0137333409850247,0.000914129006455822,0.216639682566314,0.258617705949863,0.0878964638827531,0.16848865502,,0.0330785397,-0.364638792022327,-0.379658296504678
